% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.121	1	1	13	2	1	28	2196	0	0
0.121	2	2	13	2	1	28	2196	0	0
0.122	1	1	13	3	1	28	2196	0	0
0.122	2	2	13	3	1	28	2196	0	0
0.221	1	1	23	2	1	28	2196	0	0
0.221	2	2	23	2	1	28	2196	0	0
0.222	1	1	23	3	1	28	2196	0	0
0.222	2	2	23	3	1	28	2196	0	0
0.321	1	1	33	2	1	28	2196	0	0
0.321	2	2	33	2	1	28	2196	0	0
0.322	1	1	33	3	1	28	2196	0	0
0.322	2	2	33	3	1	28	2196	0	0
0.421	1	1	43	2	1	28	2196	0	0
0.421	2	2	43	2	1	28	2196	0	0
0.422	1	1	43	3	1	28	2196	0	0
0.422	2	2	43	3	1	28	2196	0	0
0.521	1	1	53	2	1	28	2196	0	0
0.521	2	2	53	2	1	28	2196	0	0
0.522	1	1	53	3	1	28	2196	0	0
0.522	2	2	53	3	1	28	2196	0	0
0.621	1	1	63	2	1	28	2196	0	0
0.621	2	2	63	2	1	28	2196	0	0
0.622	1	1	63	3	1	28	2196	0	0
0.622	2	2	63	3	1	28	2196	0	0
0.721	1	1	73	2	1	28	2196	0	0
0.721	2	2	73	2	1	28	2196	0	0
0.722	1	1	73	3	1	28	2196	0	0
0.722	2	2	73	3	1	28	2196	0	0
0.821	1	1	83	2	1	28	2196	0	0
0.821	2	2	83	2	1	28	2196	0	0
0.822	1	1	83	3	1	28	2196	0	0
0.822	2	2	83	3	1	28	2196	0	0
0.921	1	1	93	2	1	28	2196	0	0
0.921	2	2	93	2	1	28	2196	0	0
0.922	1	1	93	3	1	28	2196	0	0
0.922	2	2	93	3	1	28	2196	0	0
1.021	1	1	103	2	1	28	2196	0	0
1.021	2	2	103	2	1	28	2196	0	0
1.022	1	1	103	3	1	28	2196	0	0
1.022	2	2	103	3	1	28	2196	0	0
