% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
123	1	1	1	0	28	2196	0	1
123	2	2	1	0	28	2196	0	1
124	1	1	1	0	28	2196	0	1
124	2	2	1	0	28	2196	0	1
223	1	1	1	0	28	2196	0	1
223	2	2	1	0	28	2196	0	1
224	1	1	1	0	28	2196	0	1
224	2	2	1	0	28	2196	0	1
323	1	1	1	0	28	2196	0	1
323	2	2	1	0	28	2196	0	1
324	1	1	1	0	28	2196	0	1
324	2	2	1	0	28	2196	0	1
423	1	1	1	0	28	2196	0	1
423	2	2	1	0	28	2196	0	1
424	1	1	1	0	28	2196	0	1
424	2	2	1	0	28	2196	0	1
523	1	1	1	0	28	2196	0	1
523	2	2	1	0	28	2196	0	1
524	1	1	1	0	28	2196	0	1
524	2	2	1	0	28	2196	0	1
623	1	1	1	0	28	2196	0	1
623	2	2	1	0	28	2196	0	1
624	1	1	1	0	28	2196	0	1
624	2	2	1	0	28	2196	0	1
723	1	1	1	0	28	2196	0	1
723	2	2	1	0	28	2196	0	1
724	1	1	1	0	28	2196	0	1
724	2	2	1	0	28	2196	0	1
823	1	1	1	0	28	2196	0	1
823	2	2	1	0	28	2196	0	1
824	1	1	1	0	28	2196	0	1
824	2	2	1	0	28	2196	0	1
923	1	1	1	0	28	2196	0	1
923	2	2	1	0	28	2196	0	1
924	1	1	1	0	28	2196	0	1
924	2	2	1	0	28	2196	0	1
1023	1	1	1	0	28	2196	0	1
1023	2	2	1	0	28	2196	0	1
1024	1	1	1	0	28	2196	0	1
1024	2	2	1	0	28	2196	0	1
